ts,rpm,speed,throttle_pos,load,temp,manifold_pressure,intake_air_temp,maf
1558525577639,843,0.0,16.862745098,41.9607843137,50,261.996690568,18,0.02380968
1558525579000,860,0.0,16.862745098,43.5294117647,50,261.996690568,18,0.02380968
1558525580387,863,0.0,16.862745098,41.9607843137,50,255.102040816,18,0.02380968
1558525581762,835,0.0,16.862745098,43.5294117647,50,475.730832874,18,0.02380968
1558525583119,1341,0.0,31.3725490196,47.4509803922,48,572.255929399,18,0.02380968
1558525584529,2536,8.70105655687,16.862745098,38.8235294118,48,151.682294539,18,0.02380968
1558525585915,1744,11.8085767557,50.9803921569,60.3921568627,46,648.097076669,18,0.02380968
1558525587321,2537,18.6451211933,50.9803921569,63.9215686275,46,420.573634859,18,0.02380968
1558525588680,2137,22.3741454319,52.1568627451,79.2156862745,46,661.886376172,18,0.02380968
1558525590039,2374,26.1031696706,58.431372549,80.3921568627,46,661.886376172,18,0.02380968
1558525591412,2786,31.0752019888,16.862745098,81.568627451,47,648.097076669,18,0.02380968
1558525592787,2190,32.9397141081,59.2156862745,92.1568627451,46,661.886376172,18,0.02380968
1558525594193,2395,36.047234307,54.5098039216,90.5882352941,46,654.99172642,18,0.02380968
1558525595549,2555,38.5332504661,53.3333333333,90.9803921569,44,648.097076669,18,0.02380968
1558525596913,2713,41.0192666252,52.1568627451,91.7647058824,45,158.576944291,18,0.02380968
1558525598267,2072,40.3977625855,58.431372549,93.3333333333,46,668.781025924,18,0.02380968
1558525599658,2120,41.640770665,62.3529411765,96.0784313725,46,668.781025924,18,0.02380968
1558525601064,2186,42.8837787446,61.9607843137,98.8235294118,46,668.781025924,18,0.02380968
1558525602441,2247,44.1267868241,45.8823529412,97.6470588235,46,537.78268064,18,0.02380968
1558525603828,2287,44.7482908639,37.6470588235,88.6274509804,46,510.204081633,18,0.02380968
1558525605201,2324,45.3697949037,31.3725490196,77.2549019608,47,379.205736349,18,0.02380968
1558525606609,2321,45.3697949037,30.9803921569,65.8823529412,46,379.205736349,18,0.02380968
1558525607969,2347,45.9912989434,30.9803921569,59.6078431373,46,379.205736349,18,0.02380968
1558525609341,2368,46.6128029832,30.9803921569,56.0784313725,48,372.311086597,18,0.02380968
1558525610700,2411,47.234307023,29.8039215686,54.1176470588,49,317.153888582,18,0.02380968
1558525612058,2444,47.8558110628,16.862745098,40.3921568627,49,144.787644788,18,0.02380968
1558525613469,2392,47.234307023,16.862745098,28.2352941176,49,137.892995036,19,0.02380968
1558525614823,2347,45.9912989434,27.8431372549,22.7450980392,49,337.837837838,19,0.02380968
1558525616181,2365,46.6128029832,30.1960784314,34.5098039216,49,351.627137341,19,0.02380968
1558525617539,2340,46.6128029832,16.862745098,33.7254901961,49,186.155543298,19,0.02380968
1558525618945,2301,45.3697949037,16.862745098,26.6666666667,49,144.787644788,19,0.02380968
1558525620351,2235,44.1267868241,16.862745098,21.568627451,49,151.682294539,19,0.02380968
1558525621741,2153,42.2622747048,16.862745098,19.2156862745,49,151.682294539,19,0.02380968
1558525623103,2079,41.0192666252,28.6274509804,25.0980392157,49,344.73248759,19,0.02380968
1558525624473,2080,41.0192666252,16.862745098,33.3333333333,49,158.576944291,19,0.02380968
1558525625848,1910,39.7762585457,16.862745098,35.2941176471,49,186.155543298,19,0.02380968
1558525627206,985,38.5332504661,16.862745098,48.6274509804,49,227.523441809,19,0.02380968
1558525628579,913,36.047234307,16.862745098,49.4117647059,49,255.102040816,19,0.02380968
1558525629939,888,31.6967060286,16.862745098,49.0196078431,49,261.996690568,19,0.02380968
1558525631316,897,27.3461777502,16.862745098,43.5294117647,49,255.102040816,19,0.02380968
1558525632671,881,22.9956494717,16.862745098,42.7450980392,49,255.102040816,19,0.02380968
1558525634029,870,18.0236171535,16.862745098,40.7843137255,49,248.207391065,19,0.02380968
1558525635427,871,11.8085767557,16.862745098,41.1764705882,49,255.102040816,19,0.02380968
1558525636779,895,9.94406463642,16.862745098,41.1764705882,49,420.573634859,19,0.02380968
1558525638136,1534,9.94406463642,42.7450980392,42.3529411765,49,641.202426917,19,0.02380968
1558525639495,2242,16.1591050342,45.8823529412,55.2941176471,48,551.571980143,19,0.02380968
1558525640853,2093,20.5096333126,50.1960784314,73.3333333333,48,668.781025924,19,0.02380968
1558525642212,2169,23.6171535115,62.7450980392,77.6470588235,49,668.781025924,19,0.02380968
1558525643571,2533,27.9676817899,57.2549019608,79.2156862745,49,654.99172642,19,0.02380968
1558525644976,2866,32.3182100684,20.7843137255,81.1764705882,48,661.886376172,19,0.02380968
1558525646351,2261,34.1827221877,59.2156862745,91.7647058824,48,661.886376172,19,0.02380968
1558525647709,2449,36.6687383468,49.4117647059,90.5882352941,48,620.518477661,19,0.02380968
1558525649071,2617,39.7762585457,42.3529411765,86.6666666667,48,544.677330392,19,0.02380968
1558525650425,2748,41.640770665,39.6078431373,80.3921568627,48,510.204081633,19,0.02380968
1558525651801,2852,42.8837787446,16.862745098,72.5490196078,48,165.471594043,19,0.02380968
1558525653159,2211,43.5052827843,45.0980392157,81.1764705882,48,613.62382791,20,0.02380968
1558525654521,2287,44.7482908639,35.6862745098,82.3529411765,48,406.784335356,20,0.02380968
1558525655876,2322,45.3697949037,31.7647058824,70.1960784314,48,241.312741313,20,0.02380968
1558525657235,2300,44.7482908639,16.862745098,48.6274509804,48,151.682294539,20,0.02380968
1558525658608,2231,43.5052827843,32.1568627451,39.6078431373,48,406.784335356,20,0.02380968
1558525659986,2248,44.1267868241,32.1568627451,48.2352941176,48,406.784335356,20,0.02380968
1558525661342,2263,44.1267868241,27.8431372549,49.8039215686,48,165.471594043,20,0.02380968
1558525662700,2227,43.5052827843,36.4705882353,40.3921568627,48,551.571980143,20,0.02380968
1558525664058,2253,44.1267868241,16.862745098,40.7843137255,48,358.521787093,20,0.02380968
1558525665432,2240,44.1267868241,41.568627451,56.0784313725,49,579.150579151,20,0.02380968
1558525666790,2311,45.3697949037,40.3921568627,70.1960784314,49,489.520132377,20,0.02380968
1558525668149,2365,46.6128029832,36.4705882353,70.5882352941,49,206.839492554,20,0.02380968
1558525669507,2351,45.9912989434,16.862745098,47.8431372549,49,206.839492554,20,0.02380968
1558525670867,2326,45.3697949037,16.862745098,38.8235294118,49,144.787644788,20,0.02380968
1558525672240,2274,44.7482908639,27.8431372549,34.5098039216,49,324.048538334,20,0.02380968
1558525673614,2287,44.7482908639,28.6274509804,39.6078431373,49,330.943188086,21,0.02380968
1558525674972,2295,45.3697949037,28.6274509804,41.9607843137,49,324.048538334,21,0.02380968
1558525676330,2304,45.3697949037,28.6274509804,43.137254902,49,324.048538334,21,0.02380968
1558525677720,2315,45.3697949037,28.6274509804,43.5294117647,49,330.943188086,21,0.02380968
1558525679110,2324,45.3697949037,28.6274509804,44.3137254902,49,324.048538334,21,0.02380968
1558525680501,2333,45.9912989434,28.6274509804,44.7058823529,49,324.048538334,21,0.02380968
1558525681906,2342,45.9912989434,27.0588235294,43.9215686275,49,296.469939327,21,0.02380968
1558525683268,2345,45.9912989434,25.0980392157,40.7843137255,49,165.471594043,21,0.02380968
1558525684640,2297,45.3697949037,16.862745098,29.8039215686,49,165.471594043,21,0.02380968
1558525685999,2258,44.1267868241,29.4117647059,33.7254901961,49,344.73248759,21,0.02380968
1558525687357,2238,44.7482908639,16.862745098,32.9411764706,49,151.682294539,21,0.02380968
1558525688731,2198,42.8837787446,16.862745098,25.0980392157,49,151.682294539,21,0.02380968
1558525690104,2126,41.640770665,16.862745098,21.1764705882,49,158.576944291,21,0.02380968
1558525691495,2051,40.3977625855,16.862745098,20.0,49,448.152233867,21,0.02380968
1558525692854,2070,40.3977625855,36.0784313725,47.8431372549,49,399.889685604,21,0.02380968
1558525694215,2094,41.0192666252,17.2549019608,44.3137254902,49,158.576944291,21,0.02380968
1558525695570,2052,39.7762585457,29.4117647059,35.6862745098,48,372.311086597,21,0.02380968
1558525696947,2048,40.3977625855,16.862745098,35.6862745098,48,158.576944291,21,0.02380968
1558525698318,1994,39.1547545059,16.862745098,27.8431372549,48,165.471594043,21,0.02380968
1558525699676,1937,37.9117464264,16.862745098,23.9215686275,48,172.366243795,21,0.02380968
1558525701051,1876,36.6687383468,16.862745098,21.9607843137,48,172.366243795,22,0.02380968
1558525702410,1284,35.4257302672,16.862745098,40.3921568627,48,241.312741313,22,0.02380968
1558525703783,1030,34.1827221877,16.862745098,43.5294117647,48,255.102040816,22,0.02380968
